date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:46	60144/60144	---M-Z	200	added ('OK')	text/html	etag:%223393a1c-eaf0-566d2b5ccfd88-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/index-4-minimal.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/index-4-minimal.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:46	25808/25808	---M-Z	200	added ('OK')	text/html	etag:%22338ba90-64d0-566d2b5da4fa9-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/single-portfolio.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/single-portfolio.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:47	31377/31377	---M-Z	200	added ('OK')	text/html	etag:%223390b92-7a91-566d2b5dd8faf-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/single-blog.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/single-blog.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:47	27793/27793	---M--	200	added ('OK')	image/jpeg	etag:%22338bd55-6c91-55e93db3c6913%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/img/details-1.jpg	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/img/details-1.jpg	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:49	33935/33935	---M--	200	added ('OK')	image/jpeg	etag:%22338bd59-848f-55e93db3d287a%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/img/details-2.jpg	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/img/details-2.jpg	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:50	21502/21502	---M-Z	200	added ('OK')	text/html	etag:%223393a1e-53fe-566d2b5e3543d-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/single-service.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/single-service.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:52	34050/34050	---M--	200	added ('OK')	image/jpeg	etag:%22338bd5a-8502-55e93db3e786a%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/img/details-3.jpg	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/img/details-3.jpg	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:58	15243/15243	---M--	200	added ('OK')	text/javascript	etag:%2233f1bb5-3b8b-4f0bb03ac0b80%22	http://mgsdemo.mgscoder.com/html5/aboutme/js/modernizr.js	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/js/modernizr.js	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:59	3207/3207	---M--	200	added ('OK')	text/javascript	etag:%2233f1bc6-c87-55bed81496180%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/js/preview.js	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/js/preview.js	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:31:00	37045/37045	---M--	200	added ('OK')	text/javascript	etag:%2233f1bad-90b5-5387b236c8280%22	http://mgsdemo.mgscoder.com/html5/aboutme/js/bootstrap.min.js	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/js/bootstrap.min.js	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
